@relation 'Wine With Correlated Data'

@attribute Alcohol numeric
@attribute Total_Phenols numeric
@attribute Flavanoids numeric
@attribute OD280_OD315 numeric
@attribute Proline numeric
@attribute Type {A,B,C}

@data
14.23,2.8,3.06,3.92,1065,A
13.2,2.65,2.76,3.4,1050,A
13.16,2.8,3.24,3.17,1185,A
14.37,3.85,3.49,3.45,1480,A
13.24,2.8,2.69,2.93,735,A
14.2,3.27,3.39,2.85,1450,A
14.39,2.5,2.52,3.58,1290,A
14.06,2.6,2.51,3.58,1295,A
14.83,2.8,2.98,2.85,1045,A
13.86,2.98,3.15,3.55,1045,A
14.1,2.95,3.32,3.17,1510,A
14.12,2.2,2.43,2.82,1280,A
13.75,2.6,2.76,2.9,1320,A
14.75,3.1,3.69,2.73,1150,A
14.38,3.3,3.64,3,1547,A
13.63,2.85,2.91,2.88,1310,A
14.3,2.8,3.14,2.65,1280,A
13.83,2.95,3.4,2.57,1130,A
14.19,3.3,3.93,2.82,1680,A
13.64,2.7,3.03,3.36,845,A
14.06,3,3.17,3.71,780,A
12.93,2.41,2.41,3.52,770,A
13.71,2.61,2.88,4,1035,A
12.85,2.48,2.37,3.63,1015,A
13.5,2.53,2.61,3.82,845,A
13.05,2.63,2.68,3.2,830,A
13.39,2.85,2.94,3.22,1195,A
13.3,2.4,2.19,2.77,1285,A
13.87,2.95,2.97,3.4,915,A
14.02,2.65,2.33,3.59,1035,A
13.73,3,3.25,2.71,1285,A
13.58,2.86,3.19,2.88,1515,A
13.68,2.42,2.69,2.87,990,A
13.76,2.95,2.74,3,1235,A
13.51,2.35,2.53,2.87,1095,A
13.48,2.7,2.98,3.47,920,A
13.28,2.6,2.68,2.78,880,A
13.05,2.45,2.43,2.51,1105,A
13.07,2.4,2.64,2.69,1020,A
14.22,3,3.04,3.53,760,A
13.56,3.15,3.29,3.38,795,A
13.41,2.45,2.68,3,1035,A
13.88,3.25,3.56,3.56,1095,A
13.24,2.64,2.63,3,680,A
13.05,3,3,3.35,885,A
14.21,2.85,2.65,3.33,1080,A
14.38,3.25,3.17,3.44,1065,A
13.9,3.1,3.39,3.33,985,A
14.1,2.75,2.92,2.75,1060,A
