@relation 'Wine- Variables for first dimension'

@attribute Total_Phenols numeric
@attribute Flavanoids numeric
@attribute Hue numeric
@attribute OD280_OD315 numeric
@attribute Type {A,B,C}

@data
2.8,3.06,1.04,3.92,A
2.65,2.76,1.05,3.4,A
2.8,3.24,1.03,3.17,A
3.85,3.49,0.86,3.45,A
2.8,2.69,1.04,2.93,A
3.27,3.39,1.05,2.85,A
2.5,2.52,1.02,3.58,A
2.6,2.51,1.06,3.58,A
2.8,2.98,1.08,2.85,A
2.98,3.15,1.01,3.55,A
2.95,3.32,1.25,3.17,A
2.2,2.43,1.17,2.82,A
2.6,2.76,1.15,2.9,A
3.1,3.69,1.25,2.73,A
3.3,3.64,1.2,3,A
2.85,2.91,1.28,2.88,A
2.8,3.14,1.07,2.65,A
2.95,3.4,1.13,2.57,A
3.3,3.93,1.23,2.82,A
2.7,3.03,0.96,3.36,A
3,3.17,1.09,3.71,A
2.41,2.41,1.03,3.52,A
2.61,2.88,1.11,4,A
2.48,2.37,1.09,3.63,A
2.53,2.61,1.12,3.82,A
2.63,2.68,1.13,3.2,A
2.85,2.94,0.92,3.22,A
2.4,2.19,1.02,2.77,A
2.95,2.97,1.25,3.4,A
2.65,2.33,1.04,3.59,A
3,3.25,1.19,2.71,A
2.86,3.19,1.09,2.88,A
2.42,2.69,1.23,2.87,A
2.95,2.74,1.25,3,A
2.35,2.53,1.1,2.87,A
2.7,2.98,1.04,3.47,A
2.6,2.68,1.09,2.78,A
2.45,2.43,1.12,2.51,A
2.4,2.64,1.18,2.69,A
3,3.04,0.89,3.53,A
3.15,3.29,0.95,3.38,A
2.45,2.68,0.91,3,A
3.25,3.56,0.88,3.56,A
2.64,2.63,0.82,3,A
3,3,0.88,3.35,A
2.85,2.65,0.87,3.33,A
3.25,3.17,1.04,3.44,A
3.1,3.39,0.91,3.33,A
2.75,2.92,1.07,2.75,A
2.88,3.54,1.12,3.1,A
2.72,3.27,1.12,2.91,A
2.45,2.99,1.24,3.37,A
3.88,3.74,1.01,3.26,A
3,2.79,1.13,2.93,A
2.6,2.9,0.92,3.2,A
2.96,2.78,0.98,3.03,A
3.2,3,0.94,3.31,A
3,3.23,1.07,2.84,A
3.4,3.67,0.89,2.87,A
1.98,0.57,1.05,1.82,B
2.05,1.09,1.25,1.67,B
