@relation 'Wine- Data of Second Dimension'

@attribute Alcohol numeric
@attribute Magnesium numeric
@attribute Color_Intensity numeric
@attribute Proline numeric
@attribute Type {A,B,C}

@data
14.23,127,5.64,1065,A
13.2,100,4.38,1050,A
13.16,101,5.68,1185,A
14.37,113,7.8,1480,A
13.24,118,4.32,735,A
14.2,112,6.75,1450,A
14.39,96,5.25,1290,A
14.06,121,5.05,1295,A
14.83,97,5.2,1045,A
13.86,98,7.22,1045,A
14.1,105,5.75,1510,A
14.12,95,5,1280,A
13.75,89,5.6,1320,A
14.75,91,5.4,1150,A
14.38,102,7.5,1547,A
13.63,112,7.3,1310,A
14.3,120,6.2,1280,A
13.83,115,6.6,1130,A
14.19,108,8.7,1680,A
13.64,116,5.1,845,A
14.06,126,5.65,780,A
12.93,102,4.5,770,A
13.71,101,3.8,1035,A
12.85,95,3.93,1015,A
13.5,96,3.52,845,A
13.05,124,3.58,830,A
13.39,93,4.8,1195,A
13.3,94,3.95,1285,A
13.87,107,4.5,915,A
14.02,96,4.7,1035,A
13.73,101,5.7,1285,A
13.58,106,6.9,1515,A
13.68,104,3.84,990,A
13.76,132,5.4,1235,A
13.51,110,4.2,1095,A
13.48,100,5.1,920,A
13.28,110,4.6,880,A
13.05,98,4.25,1105,A
13.07,98,3.7,1020,A
14.22,128,5.1,760,A
13.56,117,6.13,795,A
13.41,90,4.28,1035,A
13.88,101,5.43,1095,A
13.24,103,4.36,680,A
13.05,107,5.04,885,A
14.21,111,5.24,1080,A
14.38,102,4.9,1065,A
13.9,101,6.1,985,A
14.1,103,6.2,1060,A
13.94,108,8.9,1260,A
13.05,92,7.2,1150,A
13.83,94,5.6,1265,A
13.82,111,7.05,1190,A
13.77,115,6.3,1375,A
13.74,118,5.85,1060,A
13.56,116,6.25,1120,A
14.22,118,6.38,970,A
13.29,102,6,1270,A
13.72,108,6.8,1285,A
12.37,88,1.95,520,B
12.33,101,3.27,680,B
12.64,100,5.75,450,B
13.67,94,3.8,630,B
12.37,87,4.45,420,B
12.17,104,2.95,355,B
12.37,98,4.6,678,B
13.11,78,5.3,502,B
12.37,78,4.68,510,B
13.34,110,3.17,750,B
12.21,151,2.85,718,B
12.29,103,3.05,870,B
13.86,86,3.38,410,B
13.49,87,3.74,472,B
12.99,139,3.35,985,B
11.96,101,3.21,886,B
11.66,97,3.8,428,B
13.03,86,4.6,392,B
11.84,112,2.65,500,B
12.33,136,3.4,750,B
12.7,101,2.57,463,B
12,86,2.5,278,B
12.72,86,3.9,714,B
12.08,78,2.2,630,B
13.05,85,4.8,515,B
11.84,94,3.05,520,B
12.67,99,2.62,450,B
12.16,90,2.45,495,B
11.65,88,2.6,562,B
11.64,84,2.8,680,B
12.08,70,1.74,625,B
12.08,81,2.4,480,B
12,86,3.6,450,B
12.69,80,3.05,495,B
12.29,88,2.15,290,B
11.62,98,3.25,345,B
12.47,162,2.6,937,B
11.81,134,2.5,625,B
12.29,85,2.9,428,B
12.37,88,4.5,660,B
12.29,88,2.3,406,B
12.08,97,3.3,710,B
12.6,88,2.45,562,B
12.34,98,2.8,438,B
11.82,86,2.06,415,B
12.51,85,2.94,672,B
12.42,90,2.7,315,B
12.25,80,3.4,510,B
12.72,84,3.3,488,B
12.22,92,2.7,312,B
11.61,94,2.65,680,B
11.46,107,2.9,562,B
12.52,88,2,325,B
11.76,103,3.8,607,B
11.41,88,3.08,434,B
12.08,84,2.9,385,B
11.03,85,1.9,407,B
11.82,86,1.95,495,B
12.42,108,2.06,345,B
12.77,80,3.4,372,B
12,87,1.28,564,B
11.45,96,3.25,625,B
11.56,119,6,465,B
12.42,102,2.08,365,B
13.05,86,2.6,380,B
11.87,82,2.8,380,B
12.07,85,2.76,378,B
12.43,86,3.94,352,B
11.79,92,3,466,B
12.37,88,2.12,342,B
12.04,80,2.6,580,B
12.86,122,4.1,630,C
12.88,104,5.4,530,C
12.81,98,5.7,560,C
12.7,106,5,600,C
12.51,85,5.45,650,C
12.6,94,7.1,695,C
12.25,89,3.85,720,C
12.53,96,5,515,C
13.49,88,5.7,580,C
12.84,101,4.92,590,C
12.93,96,4.6,600,C
13.36,89,5.6,780,C
13.52,97,4.35,520,C
13.62,92,4.4,550,C
12.25,112,8.21,855,C
13.16,102,4,830,C
13.88,80,4.9,415,C
12.87,86,7.65,625,C
13.32,92,8.42,650,C
13.08,113,9.4,550,C
13.5,123,8.6,500,C
12.79,112,10.8,480,C
13.11,116,7.1,425,C
13.23,98,10.52,675,C
12.58,103,7.6,640,C
13.17,93,7.9,725,C
13.84,89,9.01,480,C
12.45,97,7.5,880,C
14.34,98,13,660,C
13.48,89,11.75,620,C
12.36,88,7.65,520,C
13.69,107,5.88,680,C
12.85,106,5.58,570,C
12.96,106,5.28,675,C
13.78,90,9.58,615,C
13.73,88,6.62,520,C
13.45,111,10.68,695,C
12.82,88,10.26,685,C
13.58,105,8.66,750,C
13.4,112,8.5,630,C
12.2,96,5.5,510,C
12.77,86,9.899999,470,C
14.16,91,9.7,660,C
13.71,95,7.7,740,C
13.4,102,7.3,750,C
13.27,120,10.2,835,C
13.17,120,9.3,840,C
14.13,96,9.2,560,C
