@relation Wine-NoCorrelation-Data

@attribute Malic_Acid numeric
@attribute Ash numeric
@attribute Ash_Alcalinity numeric
@attribute Magnesium numeric
@attribute Nonflavanoid_Phenols numeric
@attribute Color_Intensity numeric
@attribute Hue numeric
@attribute Type {A,B,C}

@data
1.71,2.43,15.6,127,0.28,5.64,1.04,A
1.78,2.14,11.2,100,0.26,4.38,1.05,A
2.36,2.67,18.6,101,0.3,5.68,1.03,A
1.95,2.5,16.8,113,0.24,7.8,0.86,A
2.59,2.87,21,118,0.39,4.32,1.04,A
1.76,2.45,15.2,112,0.34,6.75,1.05,A
1.87,2.45,14.6,96,0.3,5.25,1.02,A
2.15,2.61,17.6,121,0.31,5.05,1.06,A
1.64,2.17,14,97,0.29,5.2,1.08,A
1.35,2.27,16,98,0.22,7.22,1.01,A
2.16,2.3,18,105,0.22,5.75,1.25,A
1.48,2.32,16.8,95,0.26,5,1.17,A
1.73,2.41,16,89,0.29,5.6,1.15,A
1.73,2.39,11.4,91,0.43,5.4,1.25,A
1.87,2.38,12,102,0.29,7.5,1.2,A
1.81,2.7,17.2,112,0.3,7.3,1.28,A
1.92,2.72,20,120,0.33,6.2,1.07,A
1.57,2.62,20,115,0.4,6.6,1.13,A
1.59,2.48,16.5,108,0.32,8.7,1.23,A
3.1,2.56,15.2,116,0.17,5.1,0.96,A
1.63,2.28,16,126,0.24,5.65,1.09,A
3.8,2.65,18.6,102,0.25,4.5,1.03,A
1.86,2.36,16.6,101,0.27,3.8,1.11,A
1.6,2.52,17.8,95,0.26,3.93,1.09,A
1.81,2.61,20,96,0.28,3.52,1.12,A
2.05,3.22,25,124,0.47,3.58,1.13,A
1.77,2.62,16.1,93,0.34,4.8,0.92,A
1.72,2.14,17,94,0.27,3.95,1.02,A
1.9,2.8,19.4,107,0.37,4.5,1.25,A
1.68,2.21,16,96,0.26,4.7,1.04,A
1.5,2.7,22.5,101,0.29,5.7,1.19,A
1.66,2.36,19.1,106,0.22,6.9,1.09,A
1.83,2.36,17.2,104,0.42,3.84,1.23,A
1.53,2.7,19.5,132,0.5,5.4,1.25,A
1.8,2.65,19,110,0.29,4.2,1.1,A
1.81,2.41,20.5,100,0.26,5.1,1.04,A
1.64,2.84,15.5,110,0.34,4.6,1.09,A
1.65,2.55,18,98,0.29,4.25,1.12,A
1.5,2.1,15.5,98,0.28,3.7,1.18,A
3.99,2.51,13.2,128,0.2,5.1,0.89,A
1.71,2.31,16.2,117,0.34,6.13,0.95,A
3.84,2.12,18.8,90,0.27,4.28,0.91,A
1.89,2.59,15,101,0.17,5.43,0.88,A
3.98,2.29,17.5,103,0.32,4.36,0.82,A
1.77,2.1,17,107,0.28,5.04,0.88,A
4.04,2.44,18.9,111,0.3,5.24,0.87,A
3.59,2.28,16,102,0.27,4.9,1.04,A
1.68,2.12,16,101,0.21,6.1,0.91,A
2.02,2.4,18.8,103,0.32,6.2,1.07,A
1.73,2.27,17.4,108,0.32,8.9,1.12,A
1.73,2.04,12.4,92,0.17,7.2,1.12,A
1.65,2.6,17.2,94,0.22,5.6,1.24,A
1.75,2.42,14,111,0.32,7.05,1.01,A
1.9,2.68,17.1,115,0.39,6.3,1.13,A
1.67,2.25,16.4,118,0.21,5.85,0.92,A
1.73,2.46,20.5,116,0.2,6.25,0.98,A
1.7,2.3,16.3,118,0.26,6.38,0.94,A
1.97,2.68,16.8,102,0.31,6,1.07,A
1.43,2.5,16.7,108,0.19,6.8,0.89,A
0.94,1.36,10.6,88,0.28,1.95,1.05,B
1.1,2.28,16,101,0.63,3.27,1.25,B
1.36,2.02,16.8,100,0.53,5.75,0.98,B
1.25,1.92,18,94,0.32,3.8,1.23,B
