SPY,GLD,VIX,TLT,TNX,UUP,FXE,USO
169.11,128.78,12.72,108.14,2.56,22.1,131.52,37.21
168.93,128.67,12.97,107.48,2.61,22.12,131.56,37.58
168.52,127.48,13.18,107.52,2.59,22.27,130.67,37.4
169.14,129.71,12.66,108.9,2.52,22.19,130.97,38.09
169.5,128.84,12.29,109.36,2.49,22.26,130.59,37.92
169.17,125.11,12.54,109.2,2.49,22.36,130.17,38.45
168.87,124.01,13.77,107.5,2.53,22.42,129.82,38.34
167.95,123.32,13.78,108.86,2.49,22.38,129.95,37.8
167.52,124.89,14.42,108.66,2.53,22.33,130.41,37.48
168.15,124.18,13.79,108.29,2.56,22.49,129.44,37.67
167.51,124.13,13.84,107.72,2.6,22.47,129.43,37.56
167.44,124.24,14.01,107.81,2.57,22.42,129.78,37.01
165.19,120.95,14.21,106.56,2.68,22.78,127.6,37.43
165.13,120.62,14.35,107.4,2.63,22.93,126.64,36.77
163.95,119.51,14.78,107.29,2.64,22.84,127.47,36.41
163.02,118.09,14.89,106.26,2.71,22.9,127.1,36.56
161.28,120.74,16.2,110.01,2.5,22.57,128.88,35.84
161.21,120.05,16.44,110.34,2.47,22.66,128.52,35.21
161.36,121.13,16.37,110.41,2.49,22.51,129.42,34.67
160.42,119.11,16.86,110.44,2.48,22.56,128.93,34.18
161.08,115.94,16.86,109.69,2.48,22.51,129.16,34.33
160.14,118.28,17.21,108.58,2.54,22.52,128.86,33.8
158.57,123.47,18.47,107.88,2.59,22.4,129.75,33.74
157.06,123.93,20.11,108.85,2.55,22.36,130.02,33.64
159.07,125.05,18.9,108.4,2.51,22.34,130.04,33.23
159.4,123.6,20.49,110.27,2.42,22.19,130.93,33.63
163.45,130.59,16.64,112.11,2.31,22.06,131.57,34.78
165.74,132.13,16.61,113.28,2.18,21.86,132.73,34.96
164.44,133.77,16.8,113.22,2.17,21.84,132.53,34.76
163.18,134.43,17.15,113.82,2.13,21.88,132.22,34.74
164.21,133.74,16.41,114.09,2.17,21.9,132.36,34.33
161.75,134.25,18.59,112.33,2.23,21.97,132.07,34.03
163.1,133.25,17.07,113.96,2.19,21.98,131.92,33.79
164.8,133.94,15.44,112.62,2.21,22.17,131.33,34
164.8,133.28,15.14,113.16,2.16,22.16,130.96,34.16
162.73,136.53,16.63,115.22,2.08,22.13,131.24,33.62
161.27,135.52,17.5,115.29,2.1,22.42,129.7,33.26
163.56,135.23,16.27,113.72,2.14,22.46,129.62,33.2
