Year,Team,Month,Day,DayofWeek,Opponent,Temp,TypeOfDay,Night,Attend,BobbleHd,Headgear,Shirts,Firewks
2012,Baltimore Orioles,April,6,Friday,Minnesota Twins,59,Clear Skies,0,46773,0,0,0,0
2012,Baltimore Orioles,April,7,Saturday,Minnesota Twins,63,Clear Skies,1,31532,0,0,0,0
2012,Baltimore Orioles,April,8,Sunday,Minnesota Twins,68,Clear Skies,0,14738,0,0,0,0
2012,Baltimore Orioles,April,9,Monday,New York Yankees,65,Cloudy,1,25478,0,0,0,0
2012,Baltimore Orioles,April,10,Tuesday,New York Yankees,62,Clear Skies,1,24659,0,0,0,0
2012,Baltimore Orioles,April,11,Wednesday,New York Yankees,53,Cloudy,1,22919,0,0,0,0
2012,Baltimore Orioles,April,24,Tuesday,Toronto Blue Jays,60,Cloudy,1,11058,0,0,0,0
2012,Baltimore Orioles,April,25,Wednesday,Toronto Blue Jays,70,Clear Skies,1,10415,0,0,0,0
2012,Baltimore Orioles,April,26,Thursday,Toronto Blue Jays,64,Cloudy,1,13725,0,0,1,0
2012,Baltimore Orioles,April,27,Friday,Oakland Athletics,60,Clear Skies,1,18297,0,0,0,0
2012,Baltimore Orioles,April,28,Saturday,Oakland Athletics,56,Rainy,1,26926,0,1,0,0
2012,Baltimore Orioles,April,29,Sunday,Oakland Athletics,64,Clear Skies,0,31793,0,0,0,0
2012,Baltimore Orioles,May,7,Monday,Texas Rangers,67,Cloudy,1,11938,0,0,0,0
2012,Baltimore Orioles,May,8,Tuesday,Texas Rangers,68,Cloudy,1,11263,0,0,0,0
2012,Baltimore Orioles,May,10,Thursday,Texas Rangers,61,Clear Skies,1,19250,0,0,1,0
2012,Baltimore Orioles,May,11,Friday,Tampa Bay Rays,71,Clear Skies,1,26669,0,0,0,0
2012,Baltimore Orioles,May,12,Saturday,Tampa Bay Rays,77,Cloudy,1,32862,0,0,0,0
2012,Baltimore Orioles,May,13,Sunday,Tampa Bay Rays,79,Cloudy,0,29552,0,1,0,0
2012,Baltimore Orioles,May,14,Monday,New York Yankees,66,Rainy,1,16492,0,0,0,0
2012,Baltimore Orioles,May,15,Tuesday,New York Yankees,78,Cloudy,1,24055,0,0,0,0
2012,Baltimore Orioles,May,21,Monday,Boston Red Sox,72,Cloudy,1,16392,0,0,0,0
2012,Baltimore Orioles,May,22,Tuesday,Boston Red Sox,76,Cloudy,1,25171,0,0,0,0
2012,Baltimore Orioles,May,23,Wednesday,Boston Red Sox,75,Cloudy,0,27806,0,0,0,0
2012,Baltimore Orioles,May,25,Friday,Kansas City Royals,82,Clear Skies,1,28954,0,0,0,1
2012,Baltimore Orioles,May,26,Saturday,Kansas City Royals,87,Cloudy,0,26714,0,0,0,0
2012,Baltimore Orioles,May,27,Sunday,Kansas City Royals,86,Cloudy,0,33919,0,0,1,0
2012,Baltimore Orioles,June,8,Friday,Philadelphia Phillies,81,Clear Skies,1,40459,0,0,0,0
2012,Baltimore Orioles,June,9,Saturday,Philadelphia Phillies,86,Cloudy,0,46611,0,0,0,0
2012,Baltimore Orioles,June,10,Sunday,Philadelphia Phillies,90,Clear Skies,0,45267,0,0,0,0
2012,Baltimore Orioles,June,12,Tuesday,Pittsburgh Pirates,72,Cloudy,1,15618,0,0,0,0
2012,Baltimore Orioles,June,13,Wednesday,Pittsburgh Pirates,76,Clear Skies,1,23238,0,0,0,0
2012,Baltimore Orioles,June,14,Thursday,Pittsburgh Pirates,79,Cloudy,1,29995,0,1,0,0
2012,Baltimore Orioles,June,22,Friday,Washington Nationals,76,Cloudy,1,45891,0,0,0,0
2012,Baltimore Orioles,June,23,Saturday,Washington Nationals,87,Clear Skies,1,46298,0,0,1,0
2012,Baltimore Orioles,June,24,Sunday,Washington Nationals,88,Cloudy,0,41794,0,0,0,0
2012,Baltimore Orioles,June,26,Tuesday,Los Angeles Angels,78,Clear Skies,1,24296,0,1,0,0
2012,Baltimore Orioles,June,27,Wednesday,Los Angeles Angels,85,Clear Skies,1,18055,0,0,0,0
2012,Baltimore Orioles,June,28,Thursday,Cleveland Indians,92,Clear Skies,1,17676,0,0,1,0
2012,Baltimore Orioles,June,29,Friday,Cleveland Indians,100,Clear Skies,1,24779,0,0,0,1
2012,Baltimore Orioles,June,30,Saturday,Cleveland Indians,91,Cloudy,0,35335,0,0,0,0
2012,Baltimore Orioles,July,1,Sunday,Cleveland Indians,95,Cloudy,0,16689,0,0,0,0
2012,Baltimore Orioles,July,13,Friday,Detroit Tigers,85,Cloudy,1,35566,0,0,1,0
2012,Baltimore Orioles,July,14,Saturday,Detroit Tigers,86,Cloudy,0,43215,0,0,0,0
2012,Baltimore Orioles,July,15,Sunday,Detroit Tigers,87,Cloudy,0,30439,0,1,0,0
2012,Baltimore Orioles,July,24,Tuesday,Tampa Bay Rays,86,Cloudy,1,17592,0,0,0,0
2012,Baltimore Orioles,July,25,Wednesday,Tampa Bay Rays,85,Clear Skies,1,19582,0,1,0,0
2012,Baltimore Orioles,July,26,Thursday,Tampa Bay Rays,84,Cloudy,0,21301,0,0,1,0
2012,Baltimore Orioles,July,27,Friday,Oakland Athletics,88,Cloudy,1,29278,0,1,0,1
2012,Baltimore Orioles,July,28,Saturday,Oakland Athletics,88,Cloudy,1,21143,0,0,0,0
2012,Baltimore Orioles,July,29,Sunday,Oakland Athletics,81,Cloudy,0,19698,0,1,0,0
2012,Baltimore Orioles,August,6,Monday,Seattle Mariners,88,Cloudy,1,21184,0,0,0,0
2012,Baltimore Orioles,August,7,Tuesday,Seattle Mariners,85,Cloudy,1,15433,0,0,0,0
2012,Baltimore Orioles,August,8,Wednesday,Seattle Mariners,85,Cloudy,1,17312,0,1,0,0
2012,Baltimore Orioles,August,9,Thursday,Kansas City Royals,84,Cloudy,1,21226,0,0,1,0
2012,Baltimore Orioles,August,10,Friday,Kansas City Royals,86,Cloudy,1,17277,0,0,0,0
2012,Baltimore Orioles,August,11,Saturday,Kansas City Royals,73,Cloudy,1,40456,0,0,0,0
2012,Baltimore Orioles,August,12,Sunday,Kansas City Royals,81,Clear Skies,0,20935,0,1,0,0
2012,Baltimore Orioles,August,14,Tuesday,Boston Red Sox,84,Cloudy,1,26204,0,0,0,0
2012,Baltimore Orioles,August,15,Wednesday,Boston Red Sox,80,Cloudy,1,22269,0,0,0,0
2012,Baltimore Orioles,August,16,Thursday,Boston Red Sox,84,Clear Skies,1,25483,0,0,0,0
2012,Baltimore Orioles,August,24,Friday,Toronto Blue Jays,84,Cloudy,1,25754,0,0,0,1
2012,Baltimore Orioles,August,25,Saturday,Toronto Blue Jays,77,Cloudy,1,25082,0,1,0,0
2012,Baltimore Orioles,August,27,Monday,Chicago White Sox,87,Cloudy,1,10955,0,0,0,0
2012,Baltimore Orioles,August,28,Tuesday,Chicago White Sox,86,Clear Skies,1,12841,0,0,0,0
2012,Baltimore Orioles,August,29,Wednesday,Chicago White Sox,82,Clear Skies,1,13098,0,0,0,0
2012,Baltimore Orioles,August,30,Thursday,Chicago White Sox,81,Clear Skies,0,10141,0,0,0,0
2012,Baltimore Orioles,September,6,Thursday,New York Yankees,80,Cloudy,1,46298,0,0,0,0
2012,Baltimore Orioles,September,7,Friday,New York Yankees,83,Clear Skies,1,40861,0,0,0,0
2012,Baltimore Orioles,September,8,Saturday,New York Yankees,67,Cloudy,1,46067,0,0,0,0
2012,Baltimore Orioles,September,9,Sunday,New York Yankees,74,Cloudy,0,40346,0,0,0,0
2012,Baltimore Orioles,September,11,Tuesday,Tampa Bay Rays,75,Cloudy,1,23828,0,0,0,0
2012,Baltimore Orioles,September,12,Wednesday,Tampa Bay Rays,77,Clear Skies,1,26076,0,0,0,0
2012,Baltimore Orioles,September,13,Thursday,Tampa Bay Rays,76,Clear Skies,0,25130,0,0,1,0
